Підприємство,Адреса/Регіон,Пшениця 3 клас,Пшениця,Ячмінь,Кукурудза,Соя,Пшениця некондиція,10 250,"Николаевский терминал - НибулонНиколаевская, Николаевский",9 850,"Витовский элеватор - НибулонЧеркасская, Чигиринский",9 100,"Кременчугский терминал - НибулонПолтавская, Кременчугский",8 950,9 800,"Вознесенский филиал - НибулонНиколаевская, Вознесенский",9 750,"Врадиевский агрокомбинатНиколаевская, Врадиевский",9 700,"Дениховский элеваторКиевская, Тетиевский","Градижск филиал - НибулонПолтавская, Кременчугский","Глобинский филиал - НибулонПолтавская, Глобинский","Терновский терминал - НибулонЗапорожская, Вольнянский","Тетеревский элеваторЖитомирская, Чудновский",8 900,"Золотоношский филиал - НибулонЧеркасская, Золотоношский",8 850,"Скороходовский филиалПолтавская, Чутовский","Филиал Ромодан НибулонаПолтавская, Миргородский",8 800,"Решетиловский элеваторПолтавская, Кобеляцкий","Марьяновский элеваторПолтавская, Гребенковський","Переяславский филиал - НибулонКиевская, Переяслав-Хмельницкий","Смотрич Филиал - НибулонХмельницкая, Камянец-Подольский",8 750,"Зберігання, т","Площа, га",E-Mail
"Дениховский элеваторКиевская, Тетиевский",8 450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Тетеревский элеваторЖитомирская, Чудновский",8 400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Смотрич Филиал - НибулонХмельницкая, Камянец-Подольский",8 250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Хмільник елеватор,"Вінницька область, Хмільницький район",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10 000,,
Філія Зеленодольска,"Дніпропетровська область, Апостолівський район",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Тетерівський елеватор,"Житомирська область, Чуднівський район",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76 000,,
Хортиця - Нібулон,"Запорізька область, Запорізький район",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77 000,,
Переяславська філія - Нібулон,"Київська область, Переяслав-Хмельницький район",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76 000,,
Деніхівський елеватор,"Київська область, Тетіївський район",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76 000,,
Круп'яний Дім - Нібулон,"Кіровоградська область, Кропивницький район",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25 000,,
Старобільська філія,"Луганська область, Старобільський район",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157 700,,
Сватівський елеватор,"Луганська область, Сватівський район",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10 000,,
Баштанський елеватор,"Миколаївська область, Баштанський район",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20 000,,
Колосівський елеватор,"Миколаївська область, Веселинівський район",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54 000,,
Врадіївський агрокомбінат,"Миколаївська область, Врадіївський район",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41 000,,
Миколаївський термінал - Нібулон,"Миколаївська область, Миколаївський район",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173 000,,
Вознесенська філія - Нібулон,"Миколаївська область, Вознесенський район",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76 000,,
Бессарабська філія Нібулон,"Одеська область, Ізмаїльський район",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Глобинський філіал - Нібулон,"Полтавська область, Глобинський район",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66 000,,
Градізька філія - Нібулон,"Полтавська область, Кременчуцький район",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42 200,,
Кременчуцький термінал - Нібулон,"Полтавська область, Кременчуцький район",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75 600,,
Мар'янівський елеватор,"Полтавська область, Гребінківський район",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76 800,,
Решетилівський елеватор,"Полтавська область, Кобеляцький район",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37 500,,
Філія Ромодан Нібулона,"Полтавська область, Миргородський район",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150 500,,
Скороходівська філія,"Полтавська область, Чутівський район",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75 600,,
"Козацька, філія - Нібулон","Херсонська область, Бериславський район",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76 000,,
Голопристанська філія,"Херсонська область, Голопристанський район",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77 000,,
Смотрич Філія - Нібулон,"Хмельницька область, Кам'янець-Подільський район",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66 000,,
Золотоніська філія - Нібулон,"Черкаська область, Золотоніський район",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66 000,,
Вітовський елеватор - Нібулон,"Черкаська область, Чигиринський район",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75 200,,
"ФІЛІЯ ""ПІВДЕННИЙ БУГ"" ТОВАРИСТВА З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ СІЛЬСЬКОГОСПОДАРСЬКОГО ПІДПРИЄМСТВА ""НІБУЛОН""","Вінницька область, Хмільницький район",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ФІЛІЯ ""ХМІЛЬНИК"" ТОВАРИСТВА З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ СІЛЬСЬКОГОСПОДАРСЬКОГО ПІДПРИЄМСТВА""НІБУЛОН""","Вінницька область, Хмільницький район",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ФІЛІЯ ""БИСТРИЦЬКА"" ТОВАРИСТВА З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ СІЛЬСЬКОГОСПОДАРСЬКОГО ПІДПРИЄМСТВА ""НІБУЛОН""","Житомирська область, Ружинський район",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ФІЛІЯ ""ЧУДНІВСЬКА"" ТОВАРИСТВА З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ СІЛЬСЬКОГОСПОДАРСЬКОГО ПІДПРИЄМСТВА ""НІБУЛОН""","Житомирська область, Чуднівський район",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ФІЛІЯ ""БІЛОВОДСЬКА"" ТОВАРИСТВА З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ СІЛЬСЬКОГОСПОДАРСЬКОГО ПІДПРИЄМСТВА""НІБУЛОН""","Луганська область, Біловодський район",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ФІЛІЯ ""НОВОПСКОВСЬКА"" ТОВАРИСТВА З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ СІЛЬСЬКОГОСПОДАРСЬКОГО ПІДПРИЄМСТВА""НІБУЛОН""","Луганська область, Новопсковський район",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ФІЛІЯ ""СВАТІВСЬКА"" ТОВАРИСТВА З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ СІЛЬСЬКОГОСПОДАРСЬКОГО ПІДПРИЄМСТВА""НІБУЛОН""","Луганська область, Сватівський район",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ФІЛІЯ ""СТАРОБІЛЬСЬКА"" ТОВАРИСТВА З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ СІЛЬСЬКОГОСПОДАРСЬКОГО ПІДПРИЄМСТВА""НІБУЛОН""","Луганська область, Старобільський район",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ФІЛІЯ ""ТРОЇЦЬКА"" ТОВАРИСТВА З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ СІЛЬСЬКОГОСПОДАРСЬКОГО ПІДПРИЄМСТВА""НІБУЛОН""","Луганська область, Троїцький район",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Нібулон, СТОВ - Баштанська філія","Миколаївська область, Баштанський район",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ФІЛІЯ ""ПРИБУЖАНІВСЬКА"" ТОВАРИСТВА З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ СІЛЬСЬКОГОСПОДАРСЬКОГО ПІДПРИЄМСТВА""НІБУЛОН""","Миколаївська область, Вознесенський район",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ФІЛІЯ ""ВРАДІЇВСЬКА"" ТОВАРИСТВА З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ СІЛЬСЬКОГОСПОДАРСЬКОГО ПІДПРИЄМСТВА""НІБУЛОН""","Миколаївська область, Врадіївський район",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ДОСЛІДНИЦЬКИЙ ПІДРОЗДІЛ ""ЛІДІЄВСЬКЕ"" - ФІЛІЯ ТОВАРИСТВА З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ СІЛЬСЬКОГОСПОДАРСЬКОГО ПІДПРИЄМСТВА""НІБУЛОН""","Миколаївська область, Доманівський район",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ФІЛІЯ ""СНІГУРІВСЬКА"" ТОВАРИСТВА З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ СІЛЬСЬКОГОСПОДАРСЬКОГО ПІДПРИЄМСТВА""НІБУЛОН""","Миколаївська область, Снігурівський район",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ СІЛЬСЬКОГОСПОДАРСЬКЕ ПІДПРИЄМСТВО ""НІБУЛОН""","Миколаївська область, Миколаївський район",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74 802,
"Нібулон, СТОВ  Сухорабівська філія","Полтавська область, Решетилівський район",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ФІЛІЯ ""ПРИСЕЙМІВСЬКА"" ТОВАРИСТВА З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ СІЛЬСЬКОГОСПОДАРСЬКОГО ПІДПРИЄМСТВА ""НІБУЛОН""","Сумська область, Кролевецький район",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ФІЛІЯ ""КУП'ЯНСЬКА"" ТОВАРИСТВА З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ СІЛЬСЬКОГОСПОДАРСЬКОГО ПІДПРИЄМСТВА""НІБУЛОН""","Харківська область, Куп'янський район",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ФІЛІЯ ""КАМ'ЯНКА"" ТОВАРИСТВА З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ СІЛЬСЬКОГОСПОДАРСЬКОГО ПІДПРИЄМСТВА ""НІБУЛОН""","Черкаська область, Кам'янський район",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ФІЛІЯ ""ЧИГИРИН"" ТОВАРИСТВА З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ СІЛЬСЬКОГОСПОДАРСЬКОГО ПІДПРИЄМСТВА ""НІБУЛОН""","Черкаська область, Чигиринський район",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"м. Київ, вул. Жилянська, 31",+38 (044) 364 44 15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mail@nibulon.ua
Миколаївська обл.,+38(050) 493 11 48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Черкаська обл.,+38(050) 318 09 10 +38(0473) 09 34 52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Полтавська обл.,+38(050) 318 09 11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Київська обл.,+38(067) 511 95 89 +38(067) 515 24 32 +38(050) 394 51 37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Запорізька обл.,+38(050) 394 84 20 +38(095) 278 23 17 +38(0613) 82 27 68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Херсонська обл.,+38(050) 493 73 89 +38(0552) 44 83 62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Хмельницька обл.,+38(0384) 97 75 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Луганська обл.,+38(050) 493 11 30 +38(050) 476 36 44 +38(0646) 12 46 50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Житомирська обл.,+38(050) 493 54 58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
м. Миколаїв,38(0512) 58 04 03 +38(0512) 37 13 02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Полтавська обл,+38(050) 318 09 11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
